,parameter,measure_id,metric_id,location_id,age_group_id,sex_id,location_name,sex,age,mean,lower,upper
223,Severe anemia,prevalence,rate,161,169,2,Bangladesh,Female,Reproductive age,0.005519496400508437,0.0037394225993103263,0.00777652464981248
224,Total anemia,prevalence,count,163,1,3,India,Both,Under Five,66070960.50243492,64546070.93565977,67501902.67707747
225,Mild anemia,prevalence,count,163,1,3,India,Both,Under Five,28989377.726125054,28464926.905321214,29501520.150784027
226,Moderate anemia,prevalence,count,163,1,3,India,Both,Under Five,34513172.77881138,33426995.66163112,35607109.48168071
227,Severe anemia,prevalence,count,163,1,3,India,Both,Under Five,2568409.99749848,2356824.522439482,2810273.7344454145
228,Total anemia,ylds,count,163,1,3,India,Both,Under Five,2245101.2127495892,1481309.0693027047,3306122.9204599536
229,Mild anemia,ylds,count,163,1,3,India,Both,Under Five,106719.79568332164,38030.02633908491,233822.69299455863
230,Moderate anemia,ylds,count,163,1,3,India,Both,Under Five,1763236.136925367,1151273.6819150557,2620312.58667207
231,Severe anemia,ylds,count,163,1,3,India,Both,Under Five,375145.28014090075,250926.02256506565,530237.3714576386
232,Total anemia,prevalence,rate,163,1,3,India,Both,Under Five,0.5643677359464244,0.5513423694945851,0.5765906185749206
233,Mild anemia,prevalence,rate,163,1,3,India,Both,Under Five,0.24762269761744965,0.2431429213269052,0.25199733752716075
234,Moderate anemia,prevalence,rate,163,1,3,India,Both,Under Five,0.2948060847516772,0.28552813093053897,0.3041503197313444
235,Severe anemia,prevalence,rate,163,1,3,India,Both,Under Five,0.021938953577297537,0.020131623782026972,0.024004915515647932
236,Total anemia,ylds,rate,163,1,3,India,Both,Under Five,0.019177300871286142,0.012653108707999836,0.02824038114765717
237,Mild anemia,ylds,rate,163,1,3,India,Both,Under Five,0.0009115836823386516,0.00032484649382660726,0.001997276607676556
238,Moderate anemia,ylds,rate,163,1,3,India,Both,Under Five,0.01506128530549841,0.009833998421941497,0.022382297317405216
239,Severe anemia,ylds,rate,163,1,3,India,Both,Under Five,0.0032044318834490797,0.0021433705544490846,0.004529204094629477
240,Total anemia,ylds,count,163,169,2,India,Female,Reproductive age,8114514.19595328,5447642.093814436,11689299.016498016
241,Mild anemia,ylds,count,163,169,2,India,Female,Reproductive age,340386.1241393924,121255.63186713948,741533.7533234837
242,Moderate anemia,ylds,count,163,169,2,India,Female,Reproductive age,6184056.743075041,4052219.2304518083,9012663.478296684
243,Severe anemia,ylds,count,163,169,2,India,Female,Reproductive age,1590071.3287388466,1079419.97328519,2223168.0772441234
244,Total anemia,prevalence,count,163,169,2,India,Female,Reproductive age,224639863.96407244,221308064.03585213,228542974.36657837
245,Mild anemia,prevalence,count,163,169,2,India,Female,Reproductive age,92480437.1193699,91325668.23972516,93722024.36022535
246,Moderate anemia,prevalence,count,163,169,2,India,Female,Reproductive age,121260276.8025387,118830731.10337421,123920276.69146186
247,Severe anemia,prevalence,count,163,169,2,India,Female,Reproductive age,10899150.042163873,10336623.052072307,11483866.311990397
248,Total anemia,ylds,rate,163,169,2,India,Female,Reproductive age,0.017522144525424166,0.011763382762301185,0.025221681031155813
249,Mild anemia,ylds,rate,163,169,2,India,Female,Reproductive age,0.0007347956520506804,0.000262014316965972,0.0015999871141771692
250,Moderate anemia,ylds,rate,163,169,2,India,Female,Reproductive age,0.013353275273859584,0.008746230964505799,0.019446377680126036
251,Severe anemia,ylds,rate,163,169,2,India,Female,Reproductive age,0.0034340735995139014,0.0023380090377996786,0.004796869003330348
252,Total anemia,prevalence,rate,163,169,2,India,Female,Reproductive age,0.4851834874790541,0.4775837857839101,0.49312092994198736
253,Mild anemia,prevalence,rate,163,169,2,India,Female,Reproductive age,0.19974174742159675,0.19707957887117364,0.2022214506337434
254,Moderate anemia,prevalence,rate,163,169,2,India,Female,Reproductive age,0.2619012259242273,0.2564569317363102,0.2673793944011008
255,Severe anemia,prevalence,rate,163,169,2,India,Female,Reproductive age,0.02354051413323002,0.022339311196872103,0.024778424498908158
256,Total anemia,prevalence,count,164,1,3,Nepal,Both,Under Five,1609401.0093916976,1346988.6604934619,1887311.5189530868
257,Mild anemia,prevalence,count,164,1,3,Nepal,Both,Under Five,898288.799310391,788037.6923601564,1007983.2165552162
258,Moderate anemia,prevalence,count,164,1,3,Nepal,Both,Under Five,693000.9879890919,528649.3372063612,890377.8431840591
259,Severe anemia,prevalence,count,164,1,3,Nepal,Both,Under Five,18111.222092214623,11291.174405642663,27220.428043314427
260,Total anemia,ylds,count,164,1,3,Nepal,Both,Under Five,41425.209107369104,25237.140177213518,64627.30716633304
261,Mild anemia,ylds,count,164,1,3,Nepal,Both,Under Five,3313.746743371815,1173.823946337246,7487.448572108862
262,Moderate anemia,ylds,count,164,1,3,Nepal,Both,Under Five,35465.36136678883,21599.578573779643,54810.24365756775
263,Severe anemia,ylds,count,164,1,3,Nepal,Both,Under Five,2646.1009972084476,1459.530255104303,4288.639407633144
264,Total anemia,prevalence,rate,164,1,3,Nepal,Both,Under Five,0.5371890423687146,0.449600531122752,0.6299505602404545
265,Mild anemia,prevalence,rate,164,1,3,Nepal,Both,Under Five,0.2998326067003526,0.263032774826833,0.3364466255863071
266,Moderate anemia,prevalence,rate,164,1,3,Nepal,Both,Under Five,0.23131123624629796,0.17645361817567023,0.2971920721655002
267,Severe anemia,prevalence,rate,164,1,3,Nepal,Both,Under Five,0.006045199422063982,0.0037687904573129893,0.009085688146164035
268,Total anemia,ylds,rate,164,1,3,Nepal,Both,Under Five,0.013826987979038457,0.00842370241152421,0.021571430019590433
269,Mild anemia,ylds,rate,164,1,3,Nepal,Both,Under Five,0.001106068922124745,0.0003918012713815212,0.0024991753483219283
270,Moderate anemia,ylds,rate,164,1,3,Nepal,Both,Under Five,0.011837698248422622,0.007209549926902357,0.01829467120412297
271,Severe anemia,ylds,rate,164,1,3,Nepal,Both,Under Five,0.0008832208084910869,0.00048716488648406514,0.0014314705179176862
272,Total anemia,ylds,count,164,169,2,Nepal,Female,Reproductive age,110535.77924504878,67315.92468792234,166263.25878218608
273,Mild anemia,ylds,count,164,169,2,Nepal,Female,Reproductive age,7419.927869153439,2648.2378641631053,16409.94994953743
274,Moderate anemia,ylds,count,164,169,2,Nepal,Female,Reproductive age,90079.2532914971,54899.25931886077,135467.72616003882
275,Severe anemia,ylds,count,164,169,2,Nepal,Female,Reproductive age,13036.59808439824,7869.560389025333,20354.28150969717
276,Total anemia,prevalence,count,164,169,2,Nepal,Female,Reproductive age,3862013.678675933,3403032.351375164,4347907.245859933
277,Mild anemia,prevalence,count,164,169,2,Nepal,Female,Reproductive age,2011759.2583851342,1828650.038431445,2209170.9090569504
278,Moderate anemia,prevalence,count,164,169,2,Nepal,Female,Reproductive age,1761354.3899392085,1463536.9014590955,2079938.379820086
279,Severe anemia,prevalence,count,164,169,2,Nepal,Female,Reproductive age,88900.03035159038,65513.363463471316,117126.937417932
280,Total anemia,ylds,rate,164,169,2,Nepal,Female,Reproductive age,0.010032743125471323,0.006127596681824611,0.015081195966151009
281,Mild anemia,ylds,rate,164,169,2,Nepal,Female,Reproductive age,0.0006733444428749069,0.0002408073407541616,0.0014884928443987633
282,Moderate anemia,ylds,rate,164,169,2,Nepal,Female,Reproductive age,0.008176057626348295,0.005005956977943647,0.012287834006579219
283,Severe anemia,ylds,rate,164,169,2,Nepal,Female,Reproductive age,0.0011833410562481197,0.0007138741013212652,0.0018462702490397494
284,Total anemia,prevalence,rate,164,169,2,Nepal,Female,Reproductive age,0.3506245086030442,0.3095164803864188,0.3943844340460329
285,Mild anemia,prevalence,rate,164,169,2,Nepal,Female,Reproductive age,0.1826523172338101,0.16604750165652646,0.2003866617690613
286,Moderate anemia,prevalence,rate,164,169,2,Nepal,Female,Reproductive age,0.15990203416655333,0.13284334634270434,0.1886644020653961
287,Severe anemia,prevalence,rate,164,169,2,Nepal,Female,Reproductive age,0.00807015720268079,0.005946268423102717,0.010624201095619307
288,Total anemia,prevalence,count,165,1,3,Pakistan,Both,Under Five,15446395.539457977,12800794.607916787,18070608.44189402
289,Mild anemia,prevalence,count,165,1,3,Pakistan,Both,Under Five,6827936.268072951,5923405.91886545,7698926.727762709
290,Moderate anemia,prevalence,count,165,1,3,Pakistan,Both,Under Five,8132548.6048044525,6040050.076319354,10414962.761941442
291,Severe anemia,prevalence,count,165,1,3,Pakistan,Both,Under Five,485910.66658057173,285602.0115780989,787933.8167514859
292,Total anemia,ylds,count,165,1,3,Pakistan,Both,Under Five,511667.7480755915,305347.7731599709,802637.3967844509
293,Mild anemia,ylds,count,165,1,3,Pakistan,Both,Under Five,25108.443728604587,8823.79443167521,56782.540235231376
294,Moderate anemia,ylds,count,165,1,3,Pakistan,Both,Under Five,415548.6470136606,244874.85169131248,645819.7606679187
295,Severe anemia,ylds,count,165,1,3,Pakistan,Both,Under Five,71010.65733332628,35244.72903837388,127236.01623952323
296,Total anemia,prevalence,rate,165,1,3,Pakistan,Both,Under Five,0.5059998403733488,0.4193340777602026,0.5919649644921965
297,Mild anemia,prevalence,rate,165,1,3,Pakistan,Both,Under Five,0.22367254890622512,0.1940415446280642,0.2522048386850218
298,Moderate anemia,prevalence,rate,165,1,3,Pakistan,Both,Under Five,0.26640961545673025,0.19786262540392463,0.3411779454678957
299,Severe anemia,prevalence,rate,165,1,3,Pakistan,Both,Under Five,0.01591767601039333,0.00935587670920775,0.025811483622994527
300,Total anemia,ylds,rate,165,1,3,Pakistan,Both,Under Five,0.016761437850601954,0.010002717079374007,0.026293149985259525
301,Mild anemia,ylds,rate,165,1,3,Pakistan,Both,Under Five,0.000822513478063048,0.0002890537512463295,0.0018601075067399544
302,Moderate anemia,ylds,rate,165,1,3,Pakistan,Both,Under Five,0.013612725928139202,0.008021718435911523,0.021156048669940267
303,Severe anemia,ylds,rate,165,1,3,Pakistan,Both,Under Five,0.0023261984443997035,0.001154562384594025,0.004168053559322407
304,Total anemia,ylds,count,165,169,2,Pakistan,Female,Reproductive age,1143094.7554023731,714714.0190823135,1683145.0900006753
305,Mild anemia,ylds,count,165,169,2,Pakistan,Female,Reproductive age,46689.302209670874,16557.457446584438,107138.58720725773
306,Moderate anemia,ylds,count,165,169,2,Pakistan,Female,Reproductive age,854000.4884160222,535866.8670221019,1274315.8253970717
307,Severe anemia,ylds,count,165,169,2,Pakistan,Female,Reproductive age,242404.96477668005,142083.35828326724,374184.58469294925
308,Total anemia,prevalence,count,165,169,2,Pakistan,Female,Reproductive age,31027473.02290509,28279120.108734008,33935142.917768806
309,Mild anemia,prevalence,count,165,169,2,Pakistan,Female,Reproductive age,12672027.003199903,11762155.598447442,13682540.46256346
310,Moderate anemia,prevalence,count,165,169,2,Pakistan,Female,Reproductive age,16701104.739964355,14743969.366568748,18783877.152748015
311,Severe anemia,prevalence,count,165,169,2,Pakistan,Female,Reproductive age,1654341.2797408327,1208817.2192258171,2128259.759967625
312,Total anemia,ylds,rate,165,169,2,Pakistan,Female,Reproductive age,0.0158861767687229,0.009928545512594306,0.02337393698853998
313,Mild anemia,ylds,rate,165,169,2,Pakistan,Female,Reproductive age,0.0006487004468044744,0.00023028157439317713,0.0014878399974553786
314,Moderate anemia,ylds,rate,165,169,2,Pakistan,Female,Reproductive age,0.011868510318155102,0.007481957987985326,0.017696500428444062
315,Severe anemia,ylds,rate,165,169,2,Pakistan,Female,Reproductive age,0.003368966003763323,0.0019856279144821122,0.00519632380871722
316,Total anemia,prevalence,rate,165,169,2,Pakistan,Female,Reproductive age,0.4313141290210647,0.3932339379668809,0.47125936852936945
317,Mild anemia,prevalence,rate,165,169,2,Pakistan,Female,Reproductive age,0.17616000949732474,0.1634523319588348,0.19001026145344294
318,Moderate anemia,prevalence,rate,165,169,2,Pakistan,Female,Reproductive age,0.23216057426944287,0.20500583578216117,0.2608528305593856
319,Severe anemia,prevalence,rate,165,169,2,Pakistan,Female,Reproductive age,0.022993545254297098,0.01691480893040933,0.029555271152951253
320,Total anemia,prevalence,count,168,1,3,Angola,Both,Under Five,2815481.0947336103,2455263.382375933,3176940.675126647
321,Mild anemia,prevalence,count,168,1,3,Angola,Both,Under Five,1372997.1398509175,1237115.3376983067,1515477.419632995
322,Moderate anemia,prevalence,count,168,1,3,Angola,Both,Under Five,1375813.385158483,1120044.2576773097,1639146.9417278122
323,Severe anemia,prevalence,count,168,1,3,Angola,Both,Under Five,66670.56972420984,44452.14846960476,93905.52085685496
324,Total anemia,ylds,count,168,1,3,Angola,Both,Under Five,85179.46483845075,51961.88639649289,130581.38219268799
325,Mild anemia,ylds,count,168,1,3,Angola,Both,Under Five,5057.008360258733,1813.8184087075326,11370.992270228166
326,Moderate anemia,ylds,count,168,1,3,Angola,Both,Under Five,70374.77208683595,42965.150264570846,106263.40568635943
327,Severe anemia,ylds,count,168,1,3,Angola,Both,Under Five,9747.68439135607,5490.422518216365,16056.303135340142
328,Total anemia,prevalence,rate,168,1,3,Angola,Both,Under Five,0.5469980383025284,0.4770141260006357,0.6172232235365828
329,Mild anemia,prevalence,rate,168,1,3,Angola,Both,Under Five,0.2667489913174122,0.24034956730511106,0.2944303824954147
330,Moderate anemia,prevalence,rate,168,1,3,Angola,Both,Under Five,0.2672961378287131,0.21760473295576066,0.318457177102635
331,Severe anemia,prevalence,rate,168,1,3,Angola,Both,Under Five,0.01295290915640307,0.00863626399647594,0.01824417709305801
332,Total anemia,ylds,rate,168,1,3,Angola,Both,Under Five,0.01654885918340723,0.010095272874872463,0.025369646428043676
333,Mild anemia,ylds,rate,168,1,3,Angola,Both,Under Five,0.0009824870278529563,0.00035239274497558213,0.0022091821099429272
334,Moderate anemia,ylds,rate,168,1,3,Angola,Both,Under Five,0.01367256997373979,0.008347366620239112,0.020645094922679276
335,Severe anemia,ylds,rate,168,1,3,Angola,Both,Under Five,0.001893802181814485,0.001066691711243948,0.003119454907315861
336,Total anemia,ylds,count,168,169,2,Angola,Female,Reproductive age,84417.42880956558,50978.730775620956,128082.00748080092
337,Mild anemia,ylds,count,168,169,2,Angola,Female,Reproductive age,5814.5154658794345,2086.0532292744547,13120.77313177422
338,Moderate anemia,ylds,count,168,169,2,Angola,Female,Reproductive age,69147.71611155069,41408.20181735574,105369.03096320164
339,Severe anemia,ylds,count,168,169,2,Angola,Female,Reproductive age,9455.197232135426,5291.414132460066,15067.756268804813
340,Total anemia,prevalence,count,168,169,2,Angola,Female,Reproductive age,2988579.119189637,2528641.022200159,3479227.153256152
341,Mild anemia,prevalence,count,168,169,2,Angola,Female,Reproductive age,1573778.405965131,1384215.473293423,1764673.1987594722
342,Moderate anemia,prevalence,count,168,169,2,Angola,Female,Reproductive age,1350484.860626254,1064228.0302770825,1671637.5452339593
343,Severe anemia,prevalence,count,168,169,2,Angola,Female,Reproductive age,64315.85259825206,42259.31325575529,93137.78743422742
344,Total anemia,ylds,rate,168,169,2,Angola,Female,Reproductive age,0.008853707724850711,0.005370994682933633,0.013423115862125745
345,Mild anemia,ylds,rate,168,169,2,Angola,Female,Reproductive age,0.0006096302000562923,0.00022063809482625885,0.001375069468479965
346,Moderate anemia,ylds,rate,168,169,2,Angola,Female,Reproductive age,0.00725199664510944,0.004344124053867818,0.011042774381179041
347,Severe anemia,ylds,rate,168,169,2,Angola,Female,Reproductive age,0.0009920808796849798,0.0005639831240352946,0.0015791151478380446
348,Total anemia,prevalence,rate,168,169,2,Angola,Female,Reproductive age,0.3134958317277492,0.2657021939667692,0.36462630550049535
349,Mild anemia,prevalence,rate,168,169,2,Angola,Female,Reproductive age,0.16507981403108624,0.14528265919149275,0.18493942491717358
350,Moderate anemia,prevalence,rate,168,169,2,Angola,Female,Reproductive age,0.1416671174415693,0.1116532785560023,0.17518920018893652
351,Severe anemia,prevalence,rate,168,169,2,Angola,Female,Reproductive age,0.006748900255093682,0.004431184979753676,0.00976092845873824
352,Total anemia,prevalence,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,8194765.323934756,7430553.59147283,8970488.028483026
353,Mild anemia,prevalence,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,3492445.7541263574,3243359.0862248354,3741649.8908084584
354,Moderate anemia,prevalence,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,4411630.444483513,3855150.301844211,5010833.057312518
355,Severe anemia,prevalence,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,290689.1253248861,216098.55420182136,387267.09266975685
356,Total anemia,ylds,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,280382.4155626394,175950.47675253518,406346.89263379027
357,Mild anemia,ylds,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,12843.451039520824,4490.559025405244,28326.278989020724
358,Moderate anemia,ylds,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,225136.6440449161,139674.19271600686,329140.01671670383
359,Severe anemia,ylds,count,171,1,3,Democratic Republic of the Congo,Both,Under Five,42402.320478202586,26346.694336511435,63884.595182637
360,Total anemia,prevalence,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.6012536245977087,0.5451830654127138,0.6581687489918308
361,Mild anemia,prevalence,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.2562423187697948,0.23796671770073993,0.27452653857621534
362,Moderate anemia,prevalence,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.3236833137105259,0.28285411488023193,0.36764707943052705
363,Severe anemia,prevalence,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.021327992117388048,0.015855248301580766,0.028413961102098536
364,Total anemia,ylds,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.020571784177652694,0.012909565767328242,0.029813854623328265
365,Mild anemia,ylds,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.0009423297903724798,0.0003294743392600846,0.002078311854004012
366,Moderate anemia,ylds,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.016518377026173845,0.010247958460503515,0.02414915134580664
367,Severe anemia,ylds,rate,171,1,3,Democratic Republic of the Congo,Both,Under Five,0.003111077361106373,0.0019330688359955705,0.004687241536658754
368,Total anemia,ylds,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,349853.9942763001,219894.86534791766,525462.6098276823
369,Mild anemia,ylds,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,17880.157430178464,6357.363704891002,40088.36196475921
370,Moderate anemia,ylds,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,280198.64068441914,176080.66075316776,419494.6516954612
371,Severe anemia,ylds,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,51775.1961617025,30157.59200834814,80728.48254027747
372,Total anemia,prevalence,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,10684905.9477492,9544333.651813596,11953659.40071373
373,Mild anemia,prevalence,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,4852086.497020911,4488275.652590861,5232051.432254423
374,Moderate anemia,prevalence,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,5479879.98446587,4683768.56255406,6353042.739905497
375,Severe anemia,prevalence,count,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,352939.46626241715,262180.04861950787,485491.80607415346
376,Total anemia,ylds,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.012717181270062064,0.008035876296396035,0.019087258243553923
377,Mild anemia,ylds,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.0006497811635498628,0.0002317829279778352,0.0014561966980549813
378,Moderate anemia,ylds,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.010184996561819693,0.006439149097752375,0.015238006661076706
379,Severe anemia,ylds,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.0018824035446925085,0.0011038410222666962,0.0029324358480269817
380,Total anemia,prevalence,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.3884786542385721,0.3469935499946974,0.43421278635169025
381,Mild anemia,prevalence,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.1764143820599931,0.16305116651427656,0.1900525650412039
382,Moderate anemia,prevalence,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.19923162524792049,0.17095362305678719,0.23077220936552983
383,Severe anemia,prevalence,rate,171,169,2,Democratic Republic of the Congo,Female,Reproductive age,0.012832646930658494,0.009533542826754433,0.017635331809252135
384,Total anemia,prevalence,count,179,1,3,Ethiopia,Both,Under Five,9598886.893667735,9151362.430356858,10029867.130065601
385,Mild anemia,prevalence,count,179,1,3,Ethiopia,Both,Under Five,4146989.5110023846,3971639.361663893,4316458.917658675
386,Moderate anemia,prevalence,count,179,1,3,Ethiopia,Both,Under Five,5091828.190527343,4765269.117765842,5432556.845902793
387,Severe anemia,prevalence,count,179,1,3,Ethiopia,Both,Under Five,360069.1921380078,311039.95435061655,421532.79033534665
388,Total anemia,ylds,count,179,1,3,Ethiopia,Both,Under Five,328003.5504262972,216185.394756663,492691.62899888406
389,Mild anemia,ylds,count,179,1,3,Ethiopia,Both,Under Five,15280.905819311856,5416.8222968470845,33365.62809735697
390,Moderate anemia,ylds,count,179,1,3,Ethiopia,Both,Under Five,260140.11605634828,169018.7306058052,381732.46143401414
391,Severe anemia,ylds,count,179,1,3,Ethiopia,Both,Under Five,52582.52855063703,34991.88451985817,75805.51132142704
392,Total anemia,prevalence,rate,179,1,3,Ethiopia,Both,Under Five,0.5754842242516661,0.5486536894766391,0.6013228792705978
393,Mild anemia,prevalence,rate,179,1,3,Ethiopia,Both,Under Five,0.24862539460626057,0.23811258767538138,0.2587856320488252
394,Moderate anemia,prevalence,rate,179,1,3,Ethiopia,Both,Under Five,0.30527152040737693,0.28569325089109887,0.3256993020961484
395,Severe anemia,prevalence,rate,179,1,3,Ethiopia,Both,Under Five,0.021587309238028637,0.01864784832070699,0.025272250160881443
396,Total anemia,ylds,rate,179,1,3,Ethiopia,Both,Under Five,0.01966487061050725,0.0129610115812648,0.029538452015385012
397,Mild anemia,ylds,rate,179,1,3,Ethiopia,Both,Under Five,0.0009161395825062479,0.00032475596513868845,0.0020003770036027806
398,Moderate anemia,ylds,rate,179,1,3,Ethiopia,Both,Under Five,0.01559623887059087,0.010133217959975065,0.022886092093131496
399,Severe anemia,ylds,rate,179,1,3,Ethiopia,Both,Under Five,0.0031524921574101316,0.002097876320565749,0.004544784865169222
400,Total anemia,ylds,count,179,169,2,Ethiopia,Female,Reproductive age,218969.539214722,143060.6791659031,324926.8930858515
401,Mild anemia,ylds,count,179,169,2,Ethiopia,Female,Reproductive age,13149.519854626784,4684.92943279374,28698.03686185257
402,Moderate anemia,ylds,count,179,169,2,Ethiopia,Female,Reproductive age,165864.38788133324,106212.79412659362,247303.10929367426
403,Severe anemia,ylds,count,179,169,2,Ethiopia,Female,Reproductive age,39955.63147876198,25986.5488253621,56821.448718722255
404,Total anemia,prevalence,count,179,169,2,Ethiopia,Female,Reproductive age,7077553.512455083,6517280.584864719,7667532.0294695655
405,Mild anemia,prevalence,count,179,169,2,Ethiopia,Female,Reproductive age,3566312.945803666,3349342.3548659123,3772296.669523452
406,Moderate anemia,prevalence,count,179,169,2,Ethiopia,Female,Reproductive age,3239416.8211013284,2892109.392151846,3626321.9737475943
407,Severe anemia,prevalence,count,179,169,2,Ethiopia,Female,Reproductive age,271823.74555008905,230644.52345667186,316108.37076307775
408,Total anemia,ylds,rate,179,169,2,Ethiopia,Female,Reproductive age,0.006346197032618846,0.0041488116554305576,0.009409763634689752
409,Mild anemia,ylds,rate,179,169,2,Ethiopia,Female,Reproductive age,0.0003809949982629269,0.00013599688948457488,0.0008310846205589283
410,Moderate anemia,ylds,rate,179,169,2,Ethiopia,Female,Reproductive age,0.004807061099957535,0.0030770199745771814,0.0071618073298798
411,Severe anemia,ylds,rate,179,169,2,Ethiopia,Female,Reproductive age,0.001158140934398384,0.0007529015584994249,0.0016455283117564241
412,Total anemia,prevalence,rate,179,169,2,Ethiopia,Female,Reproductive age,0.2051724092073099,0.1887719130028229,0.22204891498364956
413,Mild anemia,prevalence,rate,179,169,2,Ethiopia,Female,Reproductive age,0.10338529252238746,0.09730797523529702,0.10924432780257515
414,Moderate anemia,prevalence,rate,179,169,2,Ethiopia,Female,Reproductive age,0.09390761195397695,0.08388199100900175,0.10501695415907178
415,Severe anemia,prevalence,rate,179,169,2,Ethiopia,Female,Reproductive age,0.007879504730945484,0.006679721635703325,0.009154382463016125
416,Total anemia,prevalence,count,180,1,3,Kenya,Both,Under Five,2622290.637751996,2525600.023377501,2725219.155680502
417,Mild anemia,prevalence,count,180,1,3,Kenya,Both,Under Five,1494575.1216868877,1425668.9646970069,1555049.641287924
418,Moderate anemia,prevalence,count,180,1,3,Kenya,Both,Under Five,1075214.5492481473,1026559.1890867174,1127040.1414925598
419,Severe anemia,prevalence,count,180,1,3,Kenya,Both,Under Five,52500.966816961336,48312.71182893856,57122.724386085116
420,Total anemia,ylds,count,180,1,3,Kenya,Both,Under Five,68168.717022776,44662.84694239957,100464.55693898333
421,Mild anemia,ylds,count,180,1,3,Kenya,Both,Under Five,5510.053083525787,1966.8241299411134,12086.39823104385
422,Moderate anemia,ylds,count,180,1,3,Kenya,Both,Under Five,54971.82151300552,36307.97018492061,81559.34899341702
423,Severe anemia,ylds,count,180,1,3,Kenya,Both,Under Five,7686.842426244704,5195.164034544668,10880.309019575881
424,Total anemia,prevalence,rate,180,1,3,Kenya,Both,Under Five,0.4087084090598556,0.3936382766332312,0.42475077682939916
425,Mild anemia,prevalence,rate,180,1,3,Kenya,Both,Under Five,0.2329434470043129,0.22220378093056845,0.2423689638936182
426,Moderate anemia,prevalence,rate,180,1,3,Kenya,Both,Under Five,0.16758219760031842,0.15999880674442926,0.17565969864076636
427,Severe anemia,prevalence,rate,180,1,3,Kenya,Both,Under Five,0.008182764455224317,0.007529985923261422,0.008903108400301382
428,Total anemia,ylds,rate,180,1,3,Kenya,Both,Under Five,0.010624729189406218,0.006961120500952781,0.015658336510187578
429,Mild anemia,ylds,rate,180,1,3,Kenya,Both,Under Five,0.0008587930709060328,0.0003065478515142349,0.0018837776870181424
430,Moderate anemia,ylds,rate,180,1,3,Kenya,Both,Under Five,0.008567870162921161,0.005658935175542892,0.012711783846977825
431,Severe anemia,ylds,rate,180,1,3,Kenya,Both,Under Five,0.001198065955579024,0.0008097146810484644,0.0016957974548857083
432,Total anemia,ylds,count,180,169,2,Kenya,Female,Reproductive age,137924.29971428306,91062.46588629183,197597.64783852384
433,Mild anemia,ylds,count,180,169,2,Kenya,Female,Reproductive age,6730.511263093385,2398.732465976761,14784.258494448071
434,Moderate anemia,ylds,count,180,169,2,Kenya,Female,Reproductive age,96292.51002806055,63076.93912644636,139595.79155694428
435,Severe anemia,ylds,count,180,169,2,Kenya,Female,Reproductive age,34901.27842312909,23501.5028621534,48862.33259572263
436,Total anemia,prevalence,count,180,169,2,Kenya,Female,Reproductive age,3956093.6741289436,3841984.2918553497,4069528.4475346934
437,Mild anemia,prevalence,count,180,169,2,Kenya,Female,Reproductive age,1827063.9885061102,1775069.9628064078,1884531.6108771523
438,Moderate anemia,prevalence,count,180,169,2,Kenya,Female,Reproductive age,1888705.2425399334,1822669.6715268714,1952508.1519336556
439,Severe anemia,prevalence,count,180,169,2,Kenya,Female,Reproductive age,240324.44308289932,225744.17312352447,256896.09966592435
440,Total anemia,ylds,rate,180,169,2,Kenya,Female,Reproductive age,0.008118367266963567,0.005402961703724048,0.01162171566486207
441,Mild anemia,ylds,rate,180,169,2,Kenya,Female,Reproductive age,0.0003960448131188161,0.00014150212147736162,0.0008695369120927327
442,Moderate anemia,ylds,rate,180,169,2,Kenya,Female,Reproductive age,0.005667724239759339,0.003725189999996515,0.008210333550184426
443,Severe anemia,ylds,rate,180,169,2,Kenya,Female,Reproductive age,0.0020545982140854125,0.0013831220263559256,0.002873840566227119
